"session_date","session_month","session_week","session_count","week_txn_counts"
"2024-12-29","12","52","399","361167677"
"2024-12-29","12","52","87","361167677"
"2024-12-29","12","52","14","361167677"
"2024-12-29","12","52","19","361167677"
"2024-12-29","12","52","89","361167677"
"2024-12-29","12","52","79","361167677"
"2024-12-29","12","52","123","361167677"
"2024-12-29","12","52","28","361167677"
"2024-12-29","12","52","58","361167677"
"2024-12-29","12","52","41","361167677"
"2024-12-29","12","52","31","361167677"
"2024-12-29","12","52","81","361167677"
"2024-12-29","12","52","65","361167677"
"2024-12-29","12","52","429","361167677"
"2024-12-29","12","52","131","361167677"
"2024-12-29","12","52","11","361167677"
"2024-12-29","12","52","136","361167677"
"2024-12-29","12","52","36","361167677"
"2024-12-29","12","52","20","361167677"
"2024-12-29","12","52","47","361167677"
"2024-12-29","12","52","442","361167677"
"2024-12-29","12","52","219","361167677"
"2024-12-29","12","52","158","361167677"
"2024-12-29","12","52","42","361167677"
"2024-12-29","12","52","57","361167677"
"2024-12-29","12","52","55","361167677"
"2024-12-29","12","52","6","361167677"
"2024-12-29","12","52","73","361167677"
"2024-12-29","12","52","782","361167677"
"2024-12-29","12","52","86","361167677"
"2024-12-29","12","52","50","361167677"
"2024-12-29","12","52","9","361167677"
"2024-12-29","12","52","29","361167677"
"2024-12-29","12","52","129","361167677"
"2024-12-29","12","52","13","361167677"
"2024-12-29","12","52","54","361167677"
"2024-12-29","12","52","101","361167677"
"2024-12-29","12","52","108","361167677"
"2024-12-29","12","52","35","361167677"
"2024-12-29","12","52","38","361167677"
"2024-12-29","12","52","80","361167677"
"2024-12-29","12","52","33","361167677"
"2024-12-29","12","52","77","361167677"
"2024-12-29","12","52","93","361167677"
"2024-12-29","12","52","52","361167677"
"2024-12-29","12","52","112","361167677"
"2024-12-29","12","52","23","361167677"
"2024-12-29","12","52","44","361167677"
"2024-12-29","12","52","237","361167677"
"2024-12-29","12","52","8","361167677"
"2024-12-29","12","52","32","361167677"
"2024-12-29","12","52","190","361167677"
"2024-12-29","12","52","103","361167677"
"2024-12-29","12","52","60","361167677"
"2024-12-29","12","52","49","361167677"
"2024-12-29","12","52","2","361167677"
"2024-12-29","12","52","78","361167677"
"2024-12-29","12","52","210","361167677"
"2024-12-29","12","52","39","361167677"
"2024-12-29","12","52","118","361167677"
"2024-12-29","12","52","83","361167677"
"2024-12-29","12","52","63","361167677"
"2024-12-29","12","52","53","361167677"
"2024-12-29","12","52","246","361167677"
"2024-12-29","12","52","168","361167677"
"2024-12-29","12","52","10","361167677"
"2024-12-29","12","52","59","361167677"
"2024-12-29","12","52","68","361167677"
"2024-12-29","12","52","17","361167677"
"2024-12-29","12","52","37","361167677"
"2024-12-29","12","52","252","361167677"
"2024-12-29","12","52","40","361167677"
"2024-12-29","12","52","564","361167677"
"2024-12-29","12","52","105","361167677"
"2024-12-29","12","52","3","361167677"
"2024-12-29","12","52","24","361167677"
"2024-12-29","12","52","18","361167677"
"2024-12-29","12","52","46","361167677"
"2024-12-29","12","52","84","361167677"
"2024-12-29","12","52","21","361167677"
"2024-12-29","12","52","48","361167677"
"2024-12-29","12","52","61","361167677"
"2024-12-29","12","52","56","361167677"
"2024-12-29","12","52","64","361167677"
"2024-12-29","12","52","5","361167677"
"2024-12-29","12","52","43","361167677"
"2024-12-29","12","52","1","361167677"
"2024-12-29","12","52","74","361167677"
"2024-12-29","12","52","25","361167677"
"2024-12-29","12","52","27","361167677"
"2024-12-29","12","52","45","361167677"
"2024-12-29","12","52","30","361167677"
"2024-12-29","12","52","22","361167677"
"2024-12-29","12","52","72","361167677"
"2024-12-28","12","52","29","361167677"
"2024-12-28","12","52","252","361167677"
"2024-12-28","12","52","161","361167677"
"2024-12-28","12","52","88","361167677"
"2024-12-28","12","52","230","361167677"
"2024-12-28","12","52","284","361167677"
"2024-12-28","12","52","47","361167677"
"2024-12-28","12","52","143","361167677"
"2024-12-28","12","52","25","361167677"
"2024-12-28","12","52","3","361167677"
"2024-12-28","12","52","12","361167677"
"2024-12-28","12","52","70","361167677"
"2024-12-28","12","52","14","361167677"
"2024-12-28","12","52","366","361167677"
"2024-12-28","12","52","8","361167677"
"2024-12-28","12","52","69","361167677"
"2024-12-28","12","52","72","361167677"
"2024-12-28","12","52","33","361167677"
"2024-12-28","12","52","61","361167677"
"2024-12-28","12","52","31","361167677"
"2024-12-28","12","52","23","361167677"
"2024-12-28","12","52","74","361167677"
"2024-12-28","12","52","10","361167677"
"2024-12-28","12","52","53","361167677"
"2024-12-28","12","52","46","361167677"
"2024-12-28","12","52","34","361167677"
"2024-12-28","12","52","302","361167677"
"2024-12-28","12","52","52","361167677"
"2024-12-28","12","52","51","361167677"
"2024-12-28","12","52","107","361167677"
"2024-12-28","12","52","22","361167677"
"2024-12-28","12","52","57","361167677"
"2024-12-28","12","52","43","361167677"
"2024-12-28","12","52","71","361167677"
"2024-12-28","12","52","114","361167677"
"2024-12-28","12","52","30","361167677"
"2024-12-28","12","52","5","361167677"
"2024-12-28","12","52","62","361167677"
"2024-12-28","12","52","134","361167677"
"2024-12-28","12","52","40","361167677"
"2024-12-28","12","52","159","361167677"
"2024-12-28","12","52","49","361167677"
"2024-12-28","12","52","42","361167677"
"2024-12-28","12","52","38","361167677"
"2024-12-28","12","52","152","361167677"
"2024-12-28","12","52","78","361167677"
"2024-12-28","12","52","177","361167677"
"2024-12-28","12","52","45","361167677"
"2024-12-28","12","52","50","361167677"
"2024-12-28","12","52","81","361167677"
"2024-12-28","12","52","85","361167677"
"2024-12-28","12","52","1","361167677"
"2024-12-28","12","52","183","361167677"
"2024-12-28","12","52","15","361167677"
"2024-12-28","12","52","169","361167677"
"2024-12-28","12","52","7","361167677"
"2024-12-28","12","52","124","361167677"
"2024-12-28","12","52","19","361167677"
"2024-12-28","12","52","54","361167677"
"2024-12-28","12","52","119","361167677"
"2024-12-28","12","52","16","361167677"
"2024-12-28","12","52","67","361167677"
"2024-12-28","12","52","11","361167677"
"2024-12-28","12","52","383","361167677"
"2024-12-28","12","52","2","361167677"
"2024-12-28","12","52","21","361167677"
